policy_id,policyholder_age,policy_tenure_months,premium_amount,coverage_amount,payment_history_score,predicted_lapse_risk,confidence_interval_lower,confidence_interval_upper,explanation_strength,explanation_type,human_override,response_time_seconds,initial_trust_score,actual_lapse_occurred,post_decision_trust_score,intervention_taken,decision_timestamp,trust_change_direction,decision_delay_bucket,external_pressure
POL-070211,28,72,60.56,375000,0.91,0.08,0.46,0.12,0.92,rule-based,FALSE,55,0.65,FALSE,0.68,none,7/26/25 17:35,decrease,moderate,none
POL-901211,68,420,52.55,2000000,0.67,0.59,0.48,0.68,0.88,rule-based,TRUE,110,0.93,TRUE,0.69,premium_adjustment,1/28/25 10:00,increase,delayed,high
POL-407801,58,312,733.93,421000,0.9,0.32,0.26,0.36,0.92,SHAP,FALSE,122,0.85,FALSE,0.78,none,12/21/24 11:52,increase,delayed,mild
POL-585442,53,320,60.51,986000,0.62,0.48,0.1,0.68,0.69,SHAP,FALSE,50,0.88,TRUE,0.88,retention_call,8/20/24 9:37,increase,moderate,none
POL-224800,28,76,420.09,121000,0.64,0.32,0.16,0.1,0.89,SHAP,FALSE,95,0.78,FALSE,0.72,none,9/17/25 10:52,decrease,moderate,mild
POL-772339,33,12,1500,121000,0.98,0.12,0.02,0.22,0.52,SHAP,FALSE,28,0.9,FALSE,0.65,none,11/29/25 16:47,increase,fast,none
POL-451839,44,100,210.73,403000,0.85,0.53,0.18,0.3,0.58,feature_importance,TRUE,190,0.63,FALSE,0.57,premium_adjustment,3/4/25 18:27,increase,delayed,high
POL-312994,68,330,52.68,122000,0.64,0.71,0.28,0.76,0.76,SHAP,TRUE,120,0.68,TRUE,0.46,retention_call,8/23/24 14:58,increase,delayed,high
POL-001607,39,298,994.91,527000,0.86,0.1,0.38,0.32,0.82,counterfactual,FALSE,58,0.7,FALSE,0.65,none,5/18/25 17:23,decrease,moderate,none
POL-536300,67,240,286.01,527000,0.62,0.32,0.3,0.42,0.85,feature_importance,FALSE,88,0.87,FALSE,0.62,coverage_review,1/26/24 9:43,increase,moderate,none
POL-317500,69,366,210.31,646000,0.79,0.39,0.54,0.7,0.66,counterfactual,TRUE,244,0.63,TRUE,0.81,none,2/5/25 10:02,increase,delayed,high
POL-113809,30,78,520.06,983000,0.93,0.41,0.04,0.34,0.6,SHAP,FALSE,18,0.85,FALSE,0.78,none,1/26/24 9:43,increase,fast,mild
POL-638200,34,6,129.21,340000,0.72,0.46,0.52,0.4,0.76,SHAP,FALSE,180,0.81,FALSE,0.88,none,8/17/25 17:20,decrease,delayed,mild
POL-033312,48,160,323.33,267000,0.88,0.08,0.02,0.68,0.68,LIME,FALSE,80,0.65,FALSE,0.78,none,3/20/25 10:11,increase,moderate,none
POL-509242,28,80,1287.42,2000000,0.88,0.35,0.44,0.82,0.65,LIME,FALSE,150,0.83,FALSE,0.74,none,11/23/24 10:37,increase,delayed,mild
POL-603450,59,264,158.82,985000,0.82,0.69,0.3,0.7,0.68,feature_importance,TRUE,60,0.73,FALSE,0.76,premium_adjustment,7/26/24 9:35,increase,moderate,high
POL-662720,46,142,210.4,394000,0.66,0.5,0.44,0.52,0.69,SHAP,FALSE,50,0.72,FALSE,0.7,none,1/26/24 9:43,increase,moderate,mild
POL-002838,65,40,67.69,91000,0.56,0.37,0.36,0.66,0.78,counterfactual,TRUE,15,0.71,TRUE,0.71,retention_call,3/23/24 13:50,increase,fast,mild
POL-599209,54,148,75.12,95000,0.65,0.32,0.24,0.4,0.64,feature_importance,FALSE,15,0.78,FALSE,0.7,none,5/4/24 15:19,increase,fast,none
POL-271247,54,62,232.44,340000,0.58,0.49,0.2,0.74,0.69,SHAP,TRUE,140,0.64,TRUE,0.71,retention_call,2/12/25 10:06,increase,delayed,high
POL-117901,38,72,260.01,427000,0.92,0.42,0.12,0.36,0.58,feature_importance,FALSE,78,0.78,TRUE,0.58,none,7/9/25 14:19,increase,moderate,mild
POL-661425,61,236,95.55,2000000,0.52,0.51,0.3,0.18,0.78,LIME,TRUE,78,0.67,TRUE,0.56,coverage_review,1/26/25 12:40,decrease,moderate,mild
POL-610154,60,520,143.82,1226000,0.87,0.58,0.48,0.3,0.73,SHAP,FALSE,210,0.73,TRUE,0.4,coverage_review,8/22/25 10:10,decrease,delayed,mild
POL-603441,36,48,66.3,762000,0.72,0.32,0.18,0.77,0.55,SHAP,FALSE,32,0.82,TRUE,0.62,none,10/18/25 14:06,increase,fast,none
POL-970748,33,210,260.07,186000,0.98,0.24,0.18,0.34,0.66,LIME,FALSE,26,0.64,FALSE,0.68,none,10/6/25 12:15,increase,fast,none
POL-526351,49,86,980.17,115000,0.92,0.19,0.38,0.48,0.7,SHAP,FALSE,20,0.58,FALSE,0.45,premium_adjustment,7/25/25 9:09,increase,fast,none
POL-006141,59,12,926.59,121000,0.82,0.05,0.2,0.84,0.62,feature_importance,FALSE,88,0.65,FALSE,0.5,retention_call,9/15/24 11:48,increase,moderate,none
POL-418004,42,340,121.89,187000,0.72,0.31,0.49,0.4,0.71,LIME,TRUE,131,0.74,TRUE,0.6,coverage_review,5/20/24 13:52,decrease,delayed,mild
POL-108970,59,80,260.47,773000,0.82,0.65,0.24,0.82,0.71,feature_importance,FALSE,30,0.71,FALSE,0.52,premium_adjustment,8/24/25 9:03,increase,fast,high
POL-207809,61,362,210.45,1848000,0.72,0.6,0.42,0.08,0.72,LIME,FALSE,110,0.85,FALSE,0.49,premium_adjustment,4/17/25 12:15,decrease,delayed,high
POL-912769,32,62,82.35,471000,0.98,0.69,0.08,0.14,0.65,counterfactual,TRUE,15,0.85,FALSE,0.6,none,7/21/25 18:19,increase,fast,high
POL-683801,40,326,310.13,746000,0.95,0.05,0.48,0.14,0.59,SHAP,TRUE,178,0.69,FALSE,0.52,coverage_review,3/19/25 9:55,decrease,delayed,none
POL-719304,45,210,377.61,263000,0.89,0.49,0.25,0.44,0.79,counterfactual,TRUE,50,0.73,FALSE,0.6,coverage_review,4/26/25 13:00,increase,moderate,high
POL-616104,40,314,420.04,86000,0.84,0.29,0.1,0.14,0.62,SHAP,FALSE,40,0.66,FALSE,0.61,none,12/8/25 13:33,neutral,fast,mild
POL-419148,61,120,720.17,524000,0.89,0.34,0.46,0.22,0.85,SHAP,FALSE,50,0.83,FALSE,0.88,none,3/17/24 15:48,decrease,moderate,mild
POL-582204,28,180,210.53,1095000,0.77,0.25,0.18,0.34,0.69,SHAP,FALSE,52,0.65,FALSE,0.51,none,2/17/25 13:10,increase,moderate,none
POL-407308,48,480,474.45,354000,0.88,0.28,0.22,0.34,0.64,SHAP,FALSE,42,0.66,FALSE,0.72,none,8/19/24 18:49,increase,moderate,none
POL-225662,52,280,980.54,674000,0.85,0.49,0.55,0.64,0.73,counterfactual,FALSE,160,0.67,TRUE,0.87,premium_adjustment,11/18/24 15:03,increase,delayed,high
POL-096852,68,340,65.55,997000,0.72,0.71,0.58,0.88,0.73,rule-based,TRUE,330,0.76,TRUE,0.5,retention_call,3/26/24 9:12,increase,delayed,high
POL-079155,61,60,88.98,1114000,0.67,0.71,0.02,0.08,0.86,SHAP,FALSE,60,0.61,FALSE,0.83,none,3/20/25 8:53,increase,moderate,high
POL-204388,38,12,60.41,107000,0.75,0.25,0.46,0.38,0.69,LIME,FALSE,35,0.88,FALSE,0.74,none,9/26/25 17:06,decrease,fast,none
POL-609484,38,70,190.23,761000,0.88,0.08,0.02,0.5,0.69,SHAP,FALSE,22,0.66,FALSE,0.71,none,6/17/25 17:23,increase,fast,none
POL-414717,40,102,72.45,983000,0.95,0.61,0.16,0.14,0.55,LIME,FALSE,88,0.58,FALSE,0.64,none,9/1/25 18:05,neutral,moderate,mild
POL-145938,38,78,472.05,989000,0.98,0.22,0.18,0.3,0.7,feature_importance,FALSE,66,0.83,FALSE,0.64,none,10/6/25 13:25,increase,moderate,none
POL-998676,68,288,73.94,616000,0.53,0.58,0.44,0.56,0.85,SHAP,TRUE,50,0.76,TRUE,0.55,retention_call,11/2/25 11:43,increase,moderate,mild
POL-901440,58,270,310.18,989000,0.82,0.28,0.16,0.64,0.67,SHAP,FALSE,160,0.89,FALSE,0.8,retention_call,3/23/25 14:03,increase,delayed,mild
POL-511900,70,490,95.26,986000,0.95,0.05,0.58,0.32,0.66,LIME,FALSE,15,0.56,TRUE,0.67,none,1/26/24 9:43,decrease,fast,none
POL-908871,67,12,403.45,327000,0.57,0.05,0.4,0.78,0.7,rule-based,TRUE,50,0.65,FALSE,0.53,premium_adjustment,3/15/24 11:02,increase,moderate,none
POL-724382,56,26,420.01,124000,0.78,0.25,0.18,0.45,0.67,SHAP,FALSE,26,0.76,FALSE,0.65,none,5/31/25 9:50,increase,fast,none
POL-207810,66,290,308.74,530000,0.89,0.61,0.34,0.48,0.78,counterfactual,FALSE,15,0.75,FALSE,0.74,none,10/21/24 14:37,increase,fast,high
POL-003710,58,12,353.93,1110000,0.72,0.06,0.3,0.44,0.75,SHAP,FALSE,125,0.65,FALSE,0.78,none,7/22/24 18:17,increase,delayed,none
POL-601236,28,6,74.22,444000,0.87,0.12,0.02,0.2,0.78,counterfactual,TRUE,68,0.6,FALSE,0.68,none,5/20/25 13:10,increase,moderate,none
POL-978550,58,200,268.37,753000,0.53,0.46,0.4,0.78,0.65,SHAP,FALSE,158,0.62,FALSE,0.68,none,3/18/24 9:25,increase,delayed,high
POL-115879,63,14,115.16,96000,0.76,0.05,0.03,0.72,0.69,counterfactual,TRUE,55,0.55,FALSE,0.6,premium_adjustment,8/26/24 10:58,increase,moderate,none
POL-771872,49,12,74.28,85000,0.92,0.09,0.28,0.34,0.68,SHAP,FALSE,118,0.62,TRUE,0.84,none,6/26/24 13:33,increase,delayed,none
POL-242979,41,96,1254.24,183000,0.6,0.05,0.44,0.7,0.58,LIME,FALSE,58,0.61,FALSE,0.62,none,8/5/25 10:27,increase,moderate,none
POL-043217,29,72,993.4,450000,0.98,0.52,0.02,0.72,0.48,SHAP,FALSE,50,0.9,FALSE,0.95,none,11/11/25 17:33,increase,moderate,mild
POL-106460,53,80,310.01,84000,0.83,0.38,0.58,0.48,0.72,LIME,FALSE,25,0.7,FALSE,0.5,retention_call,10/10/25 12:10,decrease,fast,mild
POL-531310,52,132,310.55,140000,0.71,0.35,0.42,0.46,0.69,feature_importance,TRUE,40,0.86,FALSE,0.78,premium_adjustment,3/26/25 8:00,neutral,fast,mild
POL-385234,50,300,77.2,272000,0.92,0.28,0.18,0.08,0.74,counterfactual,FALSE,140,0.78,FALSE,0.78,none,6/15/24 16:12,decrease,delayed,none
POL-315302,38,160,314.99,124000,0.78,0.26,0.16,0.38,0.6,LIME,FALSE,190,0.69,FALSE,0.62,none,10/15/25 13:03,increase,delayed,mild
POL-084842,46,16,66.81,120000,0.9,0.49,0.48,0.36,0.85,LIME,FALSE,120,0.67,FALSE,0.54,premium_adjustment,8/26/24 15:10,decrease,delayed,mild
POL-149432,45,170,197.09,451000,0.95,0.18,0.14,0.28,0.87,rule-based,FALSE,90,0.83,FALSE,0.45,none,7/1/25 18:04,increase,moderate,none
POL-200943,63,20,1488.88,73000,0.89,0.61,0.38,0.86,0.63,rule-based,TRUE,190,0.77,TRUE,0.55,premium_adjustment,9/25/24 10:40,increase,delayed,high
POL-102161,30,210,420.22,906000,0.91,0.05,0.04,0.26,0.92,rule-based,FALSE,130,0.65,FALSE,0.61,none,7/2/25 12:03,increase,delayed,none
POL-892129,67,226,310.08,100000,0.8,0.21,0.2,0.32,0.73,rule-based,FALSE,70,0.65,FALSE,0.62,retention_call,9/24/24 11:06,increase,moderate,none
POL-507119,59,210,310.16,387000,0.87,0.44,0.52,0.56,0.79,SHAP,TRUE,30,0.75,TRUE,0.51,retention_call,12/30/24 8:37,neutral,fast,mild
POL-521702,40,180,1459.23,477000,0.92,0.33,0.15,0.42,0.66,SHAP,FALSE,40,0.66,FALSE,0.64,none,2/4/24 14:03,increase,fast,mild
POL-061918,32,112,267.91,96000,0.78,0.32,0.2,0.66,0.7,LIME,FALSE,15,0.68,FALSE,0.7,none,5/26/25 13:42,increase,fast,none
POL-310750,39,424,195.42,120000,0.93,0.65,0.08,0.32,0.46,SHAP,FALSE,20,0.81,FALSE,0.85,none,7/19/25 10:13,increase,fast,mild
POL-638208,34,70,1270.72,301000,0.79,0.52,0.44,0.16,0.79,LIME,TRUE,110,0.55,FALSE,0.72,none,7/26/25 10:37,decrease,delayed,high
POL-495129,56,100,52.37,2000000,0.88,0.28,0.38,0.39,0.66,feature_importance,TRUE,58,0.81,TRUE,0.46,coverage_review,9/17/25 18:02,neutral,moderate,none
POL-428827,40,150,156.16,124000,0.83,0.25,0.18,0.34,0.73,LIME,FALSE,18,0.73,FALSE,0.94,none,3/5/25 15:59,increase,fast,none
POL-838248,38,58,52.54,429000,0.7,0.33,0.16,0.48,0.68,feature_importance,FALSE,170,0.69,FALSE,0.72,none,5/5/25 16:29,increase,delayed,none
POL-177568,65,6,89.85,1548000,0.6,0.47,0.4,0.88,0.88,feature_importance,TRUE,330,0.72,TRUE,0.45,premium_adjustment,7/17/24 18:27,increase,delayed,mild
POL-517110,38,24,165.81,122000,0.63,0.54,0.48,0.54,0.88,feature_importance,FALSE,218,0.78,TRUE,0.93,premium_adjustment,3/14/24 17:17,increase,delayed,mild
POL-353823,63,200,650.91,549000,0.86,0.51,0.4,0.64,0.58,SHAP,TRUE,110,0.58,TRUE,0.66,premium_adjustment,10/2/24 18:02,increase,delayed,high
POL-748215,69,60,148.45,1103000,0.55,0.05,0.52,0.52,0.51,rule-based,FALSE,30,0.65,FALSE,0.9,coverage_review,3/26/25 13:42,neutral,fast,none
POL-304861,69,300,260.29,609000,0.82,0.42,0.44,0.72,0.65,LIME,FALSE,15,0.62,TRUE,0.55,retention_call,7/17/24 12:52,increase,fast,mild
POL-210872,61,376,226.21,1648000,0.81,0.69,0.22,0.58,0.83,LIME,FALSE,52,0.7,FALSE,0.95,none,7/26/24 15:03,increase,moderate,high
POL-249782,38,12,71.99,566000,0.8,0.45,0.4,0.73,0.69,SHAP,FALSE,50,0.51,FALSE,0.41,premium_adjustment,5/8/25 16:19,increase,moderate,none
POL-593305,43,12,189.72,768000,0.72,0.16,0.02,0.14,0.66,LIME,FALSE,15,0.51,FALSE,0.68,none,8/25/24 17:26,increase,fast,none
PL-271842,52,286,413.84,664000,0.67,0.35,0.5,0.48,0.61,rule-based,TRUE,140,0.51,TRUE,0.51,retention_call,12/8/25 13:33,neutral,delayed,high
POL-210401,28,210,68.03,924000,0.85,0.71,0.42,0.78,0.85,rule-based,FALSE,65,0.65,FALSE,0.65,none,1/26/24 9:43,increase,moderate,mild
POL-412834,50,312,415.21,1228000,0.74,0.59,0.48,0.62,0.73,feature_importance,TRUE,161,0.56,TRUE,0.5,coverage_review,3/25/24 17:19,increase,delayed,high
POL-422311,31,106,75,420000,0.82,0.22,0.18,0.39,0.64,counterfactual,FALSE,70,0.6,FALSE,0.86,none,10/17/24 16:47,increase,moderate,none
POL-207454,49,392,632.66,70000,0.88,0.47,0.38,0.58,0.65,counterfactual,FALSE,38,0.7,FALSE,0.59,retention_call,11/23/24 9:27,increase,fast,mild
POL-175244,41,410,219.62,1805000,0.91,0.25,0.18,0.34,0.69,LIME,FALSE,82,0.55,FALSE,0.63,none,5/1/24 13:35,increase,moderate,none
POL-693862,59,60,374.96,73000,0.94,0.51,0.08,0.62,0.66,SHAP,FALSE,15,0.66,TRUE,0.68,premium_adjustment,8/14/25 18:03,increase,fast,mild
POL-569804,50,260,190.53,73000,0.74,0.05,0.32,0.24,0.71,LIME,FALSE,88,0.76,FALSE,0.72,coverage_review,6/12/25 9:15,decrease,moderate,none
POL-827320,29,368,420.01,1629000,0.52,0.46,0.46,0.83,0.57,counterfactual,FALSE,280,0.57,TRUE,0.42,retention_call,7/17/25 14:44,increase,delayed,high
POL-505930,58,360,1215.42,535000,0.8,0.41,0.4,0.54,0.6,feature_importance,TRUE,72,0.62,TRUE,0.52,coverage_review,9/23/25 17:23,increase,moderate,mild
POL-808121,28,62,210.17,784000,0.52,0.05,0.05,0.88,0.66,feature_importance,FALSE,65,0.63,FALSE,0.71,none,9/5/24 12:06,increase,moderate,none
POL-606722,40,90,277.84,941000,0.86,0.39,0.12,0.34,0.65,counterfactual,FALSE,15,0.8,FALSE,0.77,none,7/5/25 18:47,increase,fast,mild
POL-150361,67,468,142.25,1216000,0.72,0.53,0.58,0.56,0.75,rule-based,TRUE,90,0.79,TRUE,0.54,premium_adjustment,10/24/25 10:40,neutral,moderate,mild
POL-814302,56,160,145.78,750000,0.97,0.55,0.02,0.22,0.86,SHAP,FALSE,20,0.91,FALSE,0.6,none,3/20/25 15:50,increase,fast,mild
POL-67800,42,192,534.38,122000,0.82,0.66,0.4,0.46,0.88,SHAP,FALSE,38,0.75,FALSE,0.89,none,2/4/25 16:42,increase,fast,high
POL-872943,35,54,52.73,70000,0.89,0.1,0.45,0.48,0.76,rule-based,FALSE,20,0.51,FALSE,0.66,retention_call,5/17/24 16:29,neutral,fast,none
POL-012233,28,84,1243.94,472000,0.92,0.3,0.18,0.48,0.92,SHAP,FALSE,20,0.83,FALSE,0.56,none,7/2/25 9:06,increase,fast,mild
POL-901254,38,6,56.65,72000,0.94,0.28,0.28,0.48,0.65,SHAP,FALSE,180,0.6,FALSE,0.4,premium_adjustment,9/7/24 9:59,increase,delayed,none
POL-164874,59,6,262.12,193000,0.92,0.49,0.2,0.52,0.65,SHAP,FALSE,72,0.64,FALSE,0.64,none,12/8/25 13:33,increase,moderate,mild
POL-20361,50,430,56.2,1976000,0.55,0.22,0.09,0.12,0.88,SHAP,FALSE,50,0.76,FALSE,0.94,none,7/1/24 9:52,neutral,moderate,none
POL-001955,28,210,266.67,333000,0.97,0.22,0.18,0.36,0.76,counterfactual,FALSE,15,0.79,FALSE,0.67,none,10/14/24 13:09,increase,fast,none
POL-875342,45,210,52.46,427000,0.72,0.38,0.18,0.2,0.89,rule-based,TRUE,150,0.55,FALSE,0.43,none,3/6/25 11:03,neutral,delayed,mild
POL-287821,61,130,208.35,113000,0.93,0.23,0.14,0.32,0.61,counterfactual,FALSE,80,0.83,FALSE,0.9,none,7/24/24 15:27,increase,moderate,none
POL-305779,68,320,166.87,170000,0.62,0.52,0.36,0.46,0.7,feature_importance,TRUE,100,0.7,TRUE,0.54,retention_call,8/29/25 11:17,increase,moderate,mild
POL-621176,55,342,129.28,1240000,0.6,0.71,0.4,0.64,0.69,counterfactual,FALSE,158,0.76,TRUE,0.52,retention_call,9/8/24 8:40,increase,delayed,high
POL-211202,44,72,127.43,334000,0.98,0.29,0.08,0.32,0.6,LIME,FALSE,22,0.8,FALSE,0.44,none,5/12/24 17:43,increase,fast,none
POL-503847,69,210,420.29,668000,0.65,0.58,0.24,0.3,0.76,counterfactual,FALSE,31,0.71,FALSE,0.88,premium_adjustment,8/26/24 18:27,increase,fast,mild
POL-303307,58,60,702.83,1106000,0.73,0.28,0.28,0.38,0.74,feature_importance,FALSE,22,0.85,FALSE,0.78,none,5/17/24 18:05,increase,fast,mild
POL-016835,35,6,211.56,648000,0.84,0.51,0.36,0.64,0.62,counterfactual,TRUE,15,0.59,TRUE,0.95,coverage_review,3/17/24 13:49,increase,fast,high
POL-903966,58,228,314.98,1580000,0.7,0.06,0.38,0.58,0.62,rule-based,FALSE,110,0.65,TRUE,0.6,none,7/18/25 9:25,increase,delayed,none
POL-570323,69,18,120.28,180000,0.61,0.45,0.25,0.5,0.73,rule-based,FALSE,20,0.67,TRUE,0.4,retention_call,11/2/25 8:03,increase,fast,none
POL-874115,36,22,95.22,769000,0.81,0.52,0.56,0.56,0.88,SHAP,TRUE,105,0.82,FALSE,0.81,retention_call,11/17/24 10:42,neutral,delayed,mild
POL-549242,61,268,123.31,2000000,0.52,0.66,0.54,0.88,0.78,rule-based,TRUE,120,0.75,TRUE,0.54,premium_adjustment,1/17/25 17:27,increase,delayed,high
POL-180772,58,6,128.53,378000,0.78,0.12,0.08,0.16,0.88,rule-based,FALSE,180,0.79,FALSE,0.67,premium_adjustment,3/26/25 11:25,increase,delayed,none
POL-463627,28,240,90.54,73000,0.82,0.68,0.34,0.74,0.71,counterfactual,TRUE,160,0.89,TRUE,0.5,retention_call,8/18/24 15:23,increase,delayed,high
POL-441609,40,46,520.18,186000,0.59,0.61,0.4,0.3,0.66,LIME,TRUE,239,0.6,TRUE,0.66,coverage_review,7/19/25 12:58,decrease,delayed,high
POL-072920,56,296,190.48,1536000,0.82,0.71,0.3,0.28,0.82,rule-based,FALSE,74,0.78,FALSE,0.72,none,1/26/24 9:43,neutral,moderate,mild
POL-014012,28,260,980.07,1207000,0.88,0.18,0.08,0.1,0.82,feature_importance,FALSE,40,0.95,FALSE,0.95,none,10/8/25 13:33,neutral,fast,none
POL-520211,55,316,123.39,319000,0.82,0.43,0.22,0.5,0.66,SHAP,FALSE,186,0.71,FALSE,0.72,none,1/12/25 11:03,increase,delayed,mild
POL-845921,39,44,73.84,2000000,0.98,0.05,0.08,0.08,0.62,SHAP,FALSE,60,0.95,FALSE,0.91,none,9/11/25 10:37,neutral,moderate,none
POL-715582,28,60,140.12,357000,0.68,0.13,0.46,0.24,0.92,counterfactual,FALSE,42,0.73,FALSE,0.7,none,3/6/24 11:12,decrease,moderate,none
POL-903411,28,196,357.88,520000,0.98,0.15,0.08,0.59,0.66,LIME,FALSE,65,0.61,FALSE,0.6,none,2/18/25 16:00,increase,moderate,none
POL-800986,34,192,210.01,123000,0.92,0.05,0.06,0.38,0.46,SHAP,FALSE,90,0.75,FALSE,0.48,none,3/4/25 17:10,increase,moderate,none
POL-408672,68,70,765.3,87000,0.84,0.33,0.35,0.54,0.78,LIME,FALSE,120,0.74,TRUE,0.91,coverage_review,10/21/24 18:25,increase,delayed,mild
POL-051193,57,68,189.84,1118000,0.78,0.42,0.38,0.54,0.46,LIME,FALSE,185,0.51,TRUE,0.68,premium_adjustment,12/8/25 13:33,increase,delayed,mild
POL-562318,62,306,129.66,521000,0.95,0.29,0.15,0.37,0.86,counterfactual,FALSE,80,0.8,FALSE,0.5,none,9/26/25 11:54,increase,moderate,none
POL-678910,35,48,220.73,71000,0.72,0.35,0.15,0.24,0.68,LIME,FALSE,84,0.82,FALSE,0.46,none,1/26/24 9:43,increase,moderate,mild
POL-329471,57,62,310.03,102000,0.92,0.32,0.21,0.31,0.64,LIME,FALSE,90,0.73,FALSE,0.88,none,8/4/24 15:08,increase,moderate,mild
POL-001239,51,6,187.54,798000,0.88,0.29,0.18,0.34,0.63,feature_importance,FALSE,78,0.63,FALSE,0.78,none,4/24/25 16:53,increase,moderate,none
POL-171903,50,516,1499.83,2000000,0.97,0.58,0.33,0.08,0.82,counterfactual,TRUE,40,0.88,TRUE,0.84,none,10/15/24 8:23,decrease,fast,high
POL-412879,57,160,415.53,2000000,0.92,0.22,0.46,0.36,0.62,feature_importance,TRUE,212,0.83,FALSE,0.87,coverage_review,3/18/24 17:19,decrease,delayed,mild
POL-829102,65,12,995.09,1500000,0.85,0.05,0.2,0.74,0.73,counterfactual,FALSE,194,0.86,FALSE,0.81,none,10/12/24 11:27,increase,delayed,none
POL-677701,64,6,164.98,865000,0.72,0.24,0.44,0.46,0.7,counterfactual,TRUE,120,0.72,TRUE,0.46,coverage_review,3/24/24 15:12,neutral,delayed,none
POL-206702,64,362,125.47,876000,0.75,0.71,0.06,0.16,0.8,feature_importance,FALSE,15,0.91,FALSE,0.56,none,12/8/25 13:33,increase,fast,mild
POL-497906,67,386,415.19,1110000,0.72,0.05,0.35,0.32,0.66,SHAP,FALSE,75,0.58,TRUE,0.67,none,1/28/25 8:35,neutral,moderate,none
POL-693100,60,6,128.18,417000,0.98,0.7,0.04,0.72,0.51,SHAP,TRUE,78,0.6,TRUE,0.56,coverage_review,4/21/25 13:15,increase,moderate,high
POL-654891,28,260,336.61,494000,0.88,0.45,0.28,0.46,0.71,rule-based,TRUE,90,0.87,TRUE,0.5,coverage_review,5/19/24 16:23,increase,moderate,high
POL-816950,28,84,68.21,605000,0.64,0.56,0.3,0.44,0.66,feature_importance,FALSE,240,0.64,TRUE,0.51,none,12/15/24 13:05,increase,delayed,mild
POL-311771,32,30,77.72,1587000,0.69,0.31,0.02,0.14,0.76,rule-based,FALSE,72,0.66,FALSE,0.74,none,4/12/25 8:52,increase,moderate,none
POL-159873,58,22,68.16,70000,0.9,0.05,0.42,0.08,0.62,feature_importance,TRUE,15,0.95,FALSE,0.46,premium_adjustment,3/5/24 18:12,decrease,fast,none
POL-117804,42,12,520.27,2000000,0.73,0.05,0.05,0.18,0.66,SHAP,TRUE,15,0.87,FALSE,0.87,none,8/26/24 9:43,increase,fast,none
POL-419822,69,12,143.92,84000,0.93,0.05,0.04,0.08,0.87,counterfactual,FALSE,78,0.95,FALSE,0.95,none,10/24/24 11:34,neutral,moderate,none
POL-058971,28,96,181.93,547000,0.72,0.29,0.18,0.36,0.6,LIME,FALSE,30,0.56,FALSE,0.6,none,2/21/25 9:19,increase,fast,none
POL-921887,53,100,257.7,278000,0.81,0.53,0.05,0.44,0.63,LIME,FALSE,80,0.68,FALSE,0.78,none,7/2/24 10:03,increase,moderate,mild
POL-890373,68,384,64.35,1847000,0.67,0.05,0.38,0.7,0.86,rule-based,FALSE,150,0.73,TRUE,0.42,retention_call,8/14/24 17:03,increase,delayed,none
POL-709204,40,78,184.95,410000,0.97,0.05,0.02,0.14,0.76,SHAP,FALSE,200,0.62,FALSE,0.68,none,1/18/25 9:45,increase,delayed,none
POL-821678,39,280,128.55,423000,0.98,0.61,0.04,0.42,0.66,counterfactual,FALSE,58,0.51,FALSE,0.67,none,5/19/25 13:09,increase,moderate,mild
POL-497761,58,210,190.28,1426000,0.78,0.53,0.58,0.36,0.82,rule-based,FALSE,28,0.89,TRUE,0.86,retention_call,10/29/25 13:49,decrease,fast,mild
POL-07731,49,96,189.91,2000000,0.81,0.41,0.42,0.72,0.69,SHAP,FALSE,75,0.61,FALSE,0.68,none,12/8/25 13:33,increase,moderate,none
POL-335695,58,260,413.65,1110000,0.8,0.18,0.52,0.44,0.79,rule-based,FALSE,80,0.77,FALSE,0.74,retention_call,8/28/25 17:03,decrease,moderate,none
POL-607002,41,180,310.11,272000,0.66,0.56,0.16,0.48,0.77,LIME,FALSE,15,0.62,FALSE,0.61,none,5/28/24 9:49,increase,fast,high
POL-482824,39,6,275.1,1686000,0.98,0.09,0.18,0.78,0.66,counterfactual,FALSE,15,0.65,FALSE,0.95,none,1/26/25 11:58,increase,fast,none
POL-354964,29,520,363.09,348000,0.77,0.26,0.18,0.42,0.63,LIME,FALSE,158,0.66,FALSE,0.6,none,12/8/25 13:33,increase,delayed,mild
POL-205949,48,72,159.14,273000,0.9,0.35,0.22,0.08,0.61,feature_importance,FALSE,68,0.68,FALSE,0.74,none,10/12/24 18:45,decrease,moderate,none
POL-206872,40,310,133.41,1852000,0.88,0.29,0.12,0.22,0.79,SHAP,FALSE,20,0.82,FALSE,0.76,none,2/18/24 11:52,increase,fast,none
POL-077401,46,14,210.49,561000,0.88,0.41,0.06,0.12,0.68,rule-based,FALSE,88,0.6,FALSE,0.6,none,7/17/24 12:23,increase,moderate,mild
POL-528438,56,112,899.15,144000,0.98,0.71,0.02,0.68,0.61,SHAP,FALSE,95,0.6,FALSE,0.74,none,11/26/25 13:10,increase,moderate,high
POL-912204,46,6,210.2,309000,0.62,0.24,0.2,0.4,0.65,SHAP,FALSE,65,0.7,FALSE,0.74,none,12/23/24 9:35,increase,moderate,none
POL-319472,28,390,310.17,910000,0.76,0.38,0.33,0.32,0.67,counterfactual,FALSE,52,0.95,FALSE,0.7,retention_call,9/24/25 16:03,neutral,moderate,mild
